Team_ID;Team_Name;Team_Logo;Victories;Defeats;Draws_With_Goals;Draws_Without_Goals
1062;Atletico-MG;https://media.api-sports.io/football/teams/1062.png;60;26;20;8
127;Flamengo;https://media.api-sports.io/football/teams/127.png;58;31;19;6
121;Palmeiras;https://media.api-sports.io/football/teams/121.png;63;23;18;10
794;RB Bragantino;https://media.api-sports.io/football/teams/794.png;42;36;30;6
131;Corinthians;https://media.api-sports.io/football/teams/131.png;45;32;30;7
154;Fortaleza EC;https://media.api-sports.io/football/teams/154.png;47;41;16;10
125;America Mineiro;https://media.api-sports.io/football/teams/125.png;33;50;24;7
124;Fluminense;https://media.api-sports.io/football/teams/124.png;52;38;17;7
144;Atletico Goianiense;https://media.api-sports.io/football/teams/144.png;21;29;18;8
129;Ceara;https://media.api-sports.io/football/teams/129.png;18;25;19;14
128;Santos;https://media.api-sports.io/football/teams/128.png;35;44;18;17
119;Internacional;https://media.api-sports.io/football/teams/119.png;47;32;21;14
152;Juventude;https://media.api-sports.io/football/teams/152.png;14;36;21;5
126;Sao Paulo;https://media.api-sports.io/football/teams/126.png;38;35;24;17
1193;Cuiaba;https://media.api-sports.io/football/teams/1193.png;34;43;23;14
134;Atletico Paranaense;https://media.api-sports.io/football/teams/134.png;43;39;25;7
130;Gremio;https://media.api-sports.io/football/teams/130.png;33;31;9;3
118;Bahia;https://media.api-sports.io/football/teams/118.png;23;35;9;9
123;Sport Recife;https://media.api-sports.io/football/teams/123.png;9;18;4;7
132;Chapecoense-sc;https://media.api-sports.io/football/teams/132.png;1;25;9;3
120;Botafogo;https://media.api-sports.io/football/teams/120.png;33;25;13;5
151;Goias;https://media.api-sports.io/football/teams/151.png;20;32;19;5
147;Coritiba;https://media.api-sports.io/football/teams/147.png;20;44;10;2
145;Avai;https://media.api-sports.io/football/teams/145.png;9;21;7;1
135;Cruzeiro;https://media.api-sports.io/football/teams/135.png;11;13;8;6
133;Vasco DA Gama;https://media.api-sports.io/football/teams/133.png;12;17;7;2
